epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1826.97,1.59017,1.57873,1.80659,0.59426,0.73892,0.76192,0.40421,1.67356,1.35309,1.87997,0.000643101,0.000643101,0.000643101
43,1869.22,1.57567,1.58424,1.79999,0.72688,0.53821,0.63365,0.3443,1.6212,1.50557,1.82661,0.000628101,0.000628101,0.000628101
44,1910.72,1.5842,1.56503,1.78741,0.79386,0.54209,0.69443,0.38123,1.65334,1.43657,1.83418,0.000612981,0.000612981,0.000612981
45,1954.01,1.56234,1.56981,1.79075,0.55439,0.70251,0.67046,0.36319,1.70234,1.46752,1.90691,0.000597754,0.000597754,0.000597754
46,1998.98,1.57799,1.55503,1.79862,0.70097,0.47637,0.59276,0.32632,1.59134,1.57992,1.80911,0.000582435,0.000582435,0.000582435
47,2041.6,1.57144,1.53634,1.77553,0.48256,0.63397,0.65372,0.3728,1.61609,1.47411,1.80989,0.00056704,0.00056704,0.00056704
48,2085.04,1.54535,1.5056,1.76994,0.7461,0.72066,0.75683,0.44091,1.5541,1.32849,1.80135,0.000551584,0.000551584,0.000551584
49,2131.17,1.54213,1.50684,1.7667,0.53863,0.64547,0.68387,0.39306,1.54562,1.46545,1.73002,0.000536081,0.000536081,0.000536081
50,2173.95,1.54229,1.49495,1.77164,0.61738,0.64308,0.71363,0.41852,1.59098,1.40124,1.77037,0.000520548,0.000520548,0.000520548
51,2215.68,1.52917,1.50638,1.75848,0.66464,0.76256,0.72478,0.40168,1.6179,1.32751,1.77525,0.000505,0.000505,0.000505
52,2259.76,1.5319,1.49916,1.75404,0.78069,0.60624,0.66262,0.37844,1.65998,1.35126,1.80772,0.000489452,0.000489452,0.000489452
53,2302.59,1.51791,1.47874,1.75262,0.67144,0.72114,0.75179,0.42267,1.66721,1.36485,1.81566,0.000473919,0.000473919,0.000473919
54,2344.16,1.50554,1.46646,1.73341,0.73003,0.68164,0.74875,0.43028,1.56579,1.35948,1.77851,0.000458416,0.000458416,0.000458416
55,2386.31,1.50225,1.46183,1.7451,0.51105,0.70882,0.69095,0.39483,1.54977,1.39632,1.73983,0.00044296,0.00044296,0.00044296
56,2428.37,1.49882,1.45441,1.73745,0.81178,0.68494,0.76222,0.41096,1.59742,1.31698,1.78696,0.000427565,0.000427565,0.000427565
57,2470.36,1.49149,1.43321,1.72411,0.58393,0.69441,0.72341,0.42228,1.51413,1.38256,1.75373,0.000412246,0.000412246,0.000412246
58,2514.13,1.50128,1.45112,1.71896,0.64978,0.80542,0.75721,0.43809,1.57466,1.32569,1.77087,0.000397019,0.000397019,0.000397019
59,2556.72,1.49835,1.45321,1.72594,0.76448,0.6937,0.75535,0.41973,1.56308,1.2893,1.74397,0.000381899,0.000381899,0.000381899
60,2601.13,1.47994,1.42517,1.71178,0.56996,0.79884,0.72669,0.41085,1.66383,1.34813,1.81629,0.000366899,0.000366899,0.000366899
61,2645.72,1.47947,1.40774,1.71193,0.53811,0.69436,0.67028,0.40065,1.65446,1.39119,1.84477,0.000352037,0.000352037,0.000352037
62,2689.5,1.46568,1.39555,1.69563,0.78302,0.68416,0.75972,0.41617,1.59884,1.31976,1.79606,0.000337325,0.000337325,0.000337325
63,2731.23,1.46156,1.39835,1.69642,0.59518,0.74201,0.74304,0.43126,1.55601,1.29619,1.72429,0.000322778,0.000322778,0.000322778
64,2773.17,1.46672,1.38598,1.69422,0.78202,0.64846,0.74549,0.42659,1.54488,1.34352,1.74914,0.000308412,0.000308412,0.000308412
65,2816,1.45845,1.37674,1.67865,0.60074,0.71502,0.74333,0.4136,1.57107,1.3025,1.77826,0.000294239,0.000294239,0.000294239
66,2861.53,1.43613,1.36939,1.67347,0.6916,0.67192,0.73108,0.41507,1.47546,1.33382,1.67841,0.000280275,0.000280275,0.000280275
67,2905.25,1.43759,1.35344,1.67104,0.64733,0.67066,0.74541,0.42475,1.53601,1.29604,1.6861,0.000266532,0.000266532,0.000266532
