epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1746.8,1.44517,1.42999,1.8449,0.63489,0.74457,0.72659,0.43297,1.45396,1.20727,1.86179,0.0005941,0.0005941,0.0005941
43,1788.9,1.44355,1.42066,1.83323,0.85408,0.564,0.72111,0.42316,1.511,1.25404,1.87257,0.0005842,0.0005842,0.0005842
44,1832.13,1.45213,1.42504,1.83619,0.66719,0.70724,0.74537,0.46031,1.41646,1.20486,1.80141,0.0005743,0.0005743,0.0005743
45,1874.38,1.43285,1.43452,1.83568,0.6359,0.73537,0.72755,0.41898,1.46531,1.23575,1.87847,0.0005644,0.0005644,0.0005644
46,1917.42,1.42872,1.40348,1.8313,0.68869,0.74802,0.73435,0.44691,1.4985,1.23128,1.87005,0.0005545,0.0005545,0.0005545
47,1959.25,1.43203,1.39604,1.81443,0.61746,0.73802,0.71765,0.42877,1.57395,1.21853,1.94626,0.0005446,0.0005446,0.0005446
48,2001.32,1.41123,1.3652,1.81121,0.6853,0.69231,0.76904,0.45373,1.53231,1.21347,1.91245,0.0005347,0.0005347,0.0005347
49,2043.41,1.40993,1.35992,1.79708,0.5854,0.6966,0.70867,0.40516,1.56159,1.29002,1.88201,0.0005248,0.0005248,0.0005248
50,2085.17,1.40993,1.34481,1.81341,0.63146,0.71033,0.75308,0.45131,1.55894,1.19778,1.8778,0.0005149,0.0005149,0.0005149
51,2125.7,1.38597,1.34312,1.79292,0.71009,0.66651,0.76208,0.40191,1.6838,1.30139,2.01776,0.000505,0.000505,0.000505
52,2167.16,1.38302,1.32837,1.77776,0.62919,0.72139,0.68862,0.40895,1.52383,1.24604,1.90749,0.0004951,0.0004951,0.0004951
53,2208.6,1.37492,1.32557,1.77997,0.69923,0.70812,0.73722,0.44881,1.50877,1.20729,1.86281,0.0004852,0.0004852,0.0004852
54,2250.25,1.36827,1.30785,1.76502,0.70473,0.72229,0.78595,0.46204,1.47374,1.16123,1.84887,0.0004753,0.0004753,0.0004753
55,2291.69,1.35991,1.29064,1.76866,0.6504,0.71735,0.75307,0.45382,1.41323,1.12169,1.77568,0.0004654,0.0004654,0.0004654
56,2332.76,1.35457,1.27061,1.75703,0.7777,0.66434,0.76303,0.45586,1.49042,1.17244,1.86704,0.0004555,0.0004555,0.0004555
57,2374.86,1.3444,1.27363,1.74213,0.63396,0.69577,0.70774,0.44119,1.52363,1.17276,1.84058,0.0004456,0.0004456,0.0004456
58,2415.79,1.34524,1.26981,1.7426,0.65574,0.68781,0.68136,0.42408,1.60685,1.21755,1.95745,0.0004357,0.0004357,0.0004357
59,2458.97,1.35045,1.27497,1.74731,0.67429,0.66201,0.71714,0.42889,1.66516,1.17492,1.96662,0.0004258,0.0004258,0.0004258
60,2500.4,1.31965,1.24957,1.7234,0.82407,0.58658,0.72339,0.47024,1.53179,1.15528,1.89258,0.0004159,0.0004159,0.0004159
61,2542.98,1.3234,1.21898,1.71929,0.6566,0.69737,0.75171,0.44253,1.55301,1.17563,1.91566,0.000406,0.000406,0.000406
62,2584.03,1.31422,1.21182,1.71901,0.88287,0.6096,0.76566,0.43556,1.59053,1.19377,1.93111,0.0003961,0.0003961,0.0003961
63,2625.37,1.30603,1.22372,1.71522,0.72932,0.65332,0.70486,0.42035,1.54027,1.20609,1.89726,0.0003862,0.0003862,0.0003862
64,2667.43,1.30789,1.18535,1.70469,0.76792,0.67035,0.74218,0.42002,1.5726,1.25124,1.92949,0.0003763,0.0003763,0.0003763
65,2708.26,1.30695,1.18002,1.69447,0.61626,0.74532,0.75769,0.46408,1.51702,1.20802,1.86908,0.0003664,0.0003664,0.0003664
66,2749.29,1.27064,1.17585,1.68472,0.78573,0.64462,0.72469,0.44479,1.51198,1.19266,1.85549,0.0003565,0.0003565,0.0003565
67,2791.09,1.28323,1.16586,1.69535,0.75586,0.70658,0.73603,0.45577,1.60619,1.22132,1.99539,0.0003466,0.0003466,0.0003466
68,2832.86,1.27203,1.16804,1.6795,0.7072,0.6876,0.76534,0.45163,1.48214,1.21927,1.83935,0.0003367,0.0003367,0.0003367
69,2873.84,1.26648,1.16325,1.68686,0.87874,0.60927,0.72681,0.47554,1.48932,1.18386,1.86554,0.0003268,0.0003268,0.0003268
70,2914.7,1.25462,1.14438,1.66721,0.82005,0.60396,0.72762,0.4506,1.58333,1.07858,1.98005,0.0003169,0.0003169,0.0003169
71,2956.07,1.16821,0.99,1.59652,0.72096,0.68317,0.73098,0.4648,1.49579,1.19087,1.87319,0.000307,0.000307,0.000307
72,2996.4,1.14526,0.95962,1.5824,0.85659,0.60113,0.75248,0.47251,1.51028,1.21878,1.91101,0.0002971,0.0002971,0.0002971
73,3037.27,1.14311,0.95249,1.56644,0.76944,0.67371,0.76835,0.47775,1.45308,1.17532,1.86391,0.0002872,0.0002872,0.0002872
74,3078.76,1.13028,0.93491,1.56632,0.68214,0.71835,0.74714,0.44773,1.54712,1.1482,1.9648,0.0002773,0.0002773,0.0002773
75,3120.54,1.10567,0.91715,1.54953,0.70823,0.64397,0.77276,0.47303,1.52355,1.14286,1.91641,0.0002674,0.0002674,0.0002674
76,3162.2,1.10491,0.90675,1.54825,0.64863,0.70707,0.72931,0.45167,1.55556,1.2193,1.94539,0.0002575,0.0002575,0.0002575
77,3202.46,1.09825,0.90043,1.5407,0.8107,0.68391,0.75493,0.45857,1.61057,1.03222,1.98568,0.0002476,0.0002476,0.0002476
78,3242.61,1.06475,0.87436,1.52408,0.80694,0.64776,0.71763,0.44634,1.69998,1.098,2.08979,0.0002377,0.0002377,0.0002377
79,3283.39,1.06514,0.85955,1.51449,0.74243,0.6845,0.70711,0.43123,1.65016,1.12925,2.07112,0.0002278,0.0002278,0.0002278
80,3324.58,1.05226,0.85695,1.51065,0.69839,0.66171,0.71283,0.45175,1.55935,1.0959,1.99487,0.0002179,0.0002179,0.0002179
81,3366,1.05434,0.84861,1.50471,0.72732,0.66519,0.71636,0.42122,1.62784,1.15811,2.03747,0.000208,0.000208,0.000208
82,3407.61,1.02163,0.81219,1.47317,0.82783,0.59303,0.71249,0.43008,1.6363,1.12073,2.0245,0.0001981,0.0001981,0.0001981
83,3448.32,1.03009,0.82546,1.48692,0.74832,0.70456,0.73063,0.44828,1.65684,1.06814,2.10327,0.0001882,0.0001882,0.0001882
84,3488.99,1.01362,0.80021,1.47024,0.77389,0.70383,0.73337,0.43919,1.58716,1.14201,1.98203,0.0001783,0.0001783,0.0001783
85,3531.59,1.00881,0.80515,1.46468,0.82976,0.63638,0.76045,0.45717,1.68824,1.11585,2.08715,0.0001684,0.0001684,0.0001684
86,3573.55,1.00829,0.79713,1.45765,0.84062,0.65779,0.73945,0.44781,1.70841,1.07286,2.15315,0.0001585,0.0001585,0.0001585
87,3615.49,0.99121,0.77994,1.45125,0.83405,0.63618,0.76658,0.45937,1.59826,1.11312,2.03533,0.0001486,0.0001486,0.0001486
88,3656.26,0.97696,0.77101,1.44967,0.86367,0.62717,0.76219,0.45017,1.69849,1.15563,2.15611,0.0001387,0.0001387,0.0001387
